name;adddate;application;conscurvature;convex;density;dualbound;formats;gap;initinfeasibility;laghessianavgblocksize;laghessianmaxblocksize;laghessianminblocksize;maxcoef;mincoef;nbinvars;ncons;ncontvars;ngennlcons;ngennlfunc;nintvars;njacobiannlnz;njacobiannz;nlaghessianblocks;nlaghessiandiagnz;nlaghessiannz;nldensity;nlincons;nlinfunc;nlnz;nloperands;nnlbinvars;nnlfunc;nnlintvars;nnlsemi;nnlvars;nobjnlnz;nobjnz;npolynomcons;npolynomfunc;nquadcons;nquadfunc;nsemi;nsignomcons;nsignomfunc;nsos1;nsos2;nvars;nz;objcurvature;objsense;objtype;opabs;opcentropy;opcos;opcvpower;opdiv;operrorf;opexp;opgamma;oplog;oplog10;opmin;opmod;opmul;oppower;oprpower;opsignpower;opsin;opsqr;opsqrt;optanh;opvcpower;primalbound;probtype;references;source;sourceids
4stufen;2001-05-01;four membrane pipe modules in feed-and-bleed coupling;indefinite;False;0.02155786048403498;109309.63;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.06422161158170596;80666.17223;3.846154;26;1;7936.508;1.135724e-08;48;98;101;4;4;0;87;312;13;21;135;0.051176470588235295;64;65;87;{'div', 'log'};0;34;0;0;50;0;6;8;8;13;13;0;9;9;0;0;149;318;linear;min;linear;;;;;True;;;;True;;;;;;;;;;;;;116329.6706;MBNLP;;GAMSCLIENT;['GAMS clients']
alan;2001-05-01;Portfolio Optimization;linear;True;0.359375;2.925;{'lp', 'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.0;0.5048076923;3.0;3;3;12.0;1.0;4;7;4;0;0;0;0;20;1;3;9;1.0;7;7;3;set();0;1;0;0;3;3;3;0;0;0;1;0;0;0;0;0;8;23;convex;min;quadratic;;;;;;;;;;;;;;;;;;;;;;2.925;MBQP;['g00033'];GAMSMODELLIB;['GAMS Model Library']
alkyl;2001-07-31;Alkylation;indefinite;False;0.2767857142857143;-1.765001273;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};9.218132160801312e-07;0.03;4.0;8;2;22.2;0.0067;0;7;14;0;0;0;17;25;3;1;21;0.2261904761904762;1;1;19;set();0;7;0;0;12;2;6;2;2;4;5;0;0;0;0;0;14;31;indefinite;min;quadratic;;;;;;;;;;;;;;;;;;;;;;-1.764999646;NLP;['g00088'];GAMSMODELLIB;['GAMS Model Library']
alkylation;2001-07-31;;indefinite;False;0.30833333333333335;1768.807015;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};2.8832993663475996e-08;0.44;4.0;4;4;98000.0;0.00667;0;11;10;1;1;0;12;31;2;5;19;0.25;5;5;14;{'div', 'mul'};0;7;0;0;8;2;6;2;2;2;3;0;1;1;0;0;10;37;indefinite;max;quadratic;;;;;True;;;;;;;;True;;;;;;;;;1768.806964;NLP;['g00013'];Housam Binous;['other']
ann_compressor_exp;2021-11-29;Neural Networks;indefinite;False;0.044487847222222224;22331.89883;{'gms', 'osil', 'nl', 'py', 'mod'};8.104998215099288e-08;173.4064201;1.04878;3;1;143.0487;0.0045084;0;95;96;40;40;0;40;407;41;40;44;0.024390243902439025;55;55;43;{'div', 'exp'};0;41;0;0;43;3;3;0;0;0;1;0;0;0;0;0;96;410;indefinite;min;quadratic;;;;;True;;True;;;;;;;;;;;;;;;22331.90064;NLP;['SchweidtmannMitsos2019'];;['other']
ann_compressor_tanh;2021-11-29;Neural Networks;indefinite;False;0.044487847222222224;;{'gms', 'osil', 'nl', 'py', 'mod'};inf;173.4064201;1.04878;3;1;143.0487;0.0045084;0;95;96;40;40;0;40;407;41;40;44;0.024390243902439025;55;55;43;{'tanh'};0;41;0;0;43;3;3;0;0;0;1;0;0;0;0;0;96;410;indefinite;min;quadratic;;;;;;;;;;;;;;;;;;;;True;;22331.90064;NLP;['SchweidtmannMitsos2019'];;['other']
ann_cumene_exp;2021-11-29;Neural Networks;indefinite;False;0.00529413075945699;-14140.39051;{'gms', 'osil', 'nl', 'py', 'mod'};3.183569279858207;10673.84462;1.077821;6;1;425.5006;9.624793e-06;0;790;794;250;250;0;299;3324;257;250;290;0.004183807684773179;532;533;299;{'div', 'exp'};0;258;0;0;277;0;1;0;0;8;8;0;0;0;0;0;794;3325;linear;min;linear;;;;;True;;True;;;;;;;;;;;;;;;-3379.982394;NLP;['SchweidtmannMitsos2019'];;['other']
ann_cumene_tanh;2021-11-29;Neural Networks;indefinite;False;0.00529413075945699;;{'gms', 'osil', 'nl', 'py', 'mod'};inf;10673.84462;1.077821;6;1;425.5006;9.624793e-06;0;790;794;250;250;0;299;3324;257;250;290;0.004183807684773179;532;533;299;{'tanh'};0;258;0;0;277;0;1;0;0;8;8;0;0;0;0;0;794;3325;linear;min;linear;;;;;;;;;;;;;;;;;;;;True;;-3379.982394;NLP;['SchweidtmannMitsos2019'];;['other']
ann_fermentation_exp;2021-11-29;Neural Networks;indefinite;False;0.20833333333333334;-99.93702217;{'gms', 'osil', 'nl', 'py', 'mod'};3.894968127689428e-06;101.2350181;1.333333;2;1;147.9215;0.025;0;9;12;2;2;0;2;23;3;3;5;0.3333333333333333;7;7;4;{'div', 'exp'};0;3;0;0;4;2;2;0;0;0;0;0;0;1;0;0;12;25;indefinite;min;signomial;;;;;True;;True;;;;;;;;;;;;;;;-99.93663292;NLP;['SchweidtmannMitsos2019'];;['other']
ann_fermentation_tanh;2021-11-29;Neural Networks;indefinite;False;0.20833333333333334;;{'gms', 'osil', 'nl', 'py', 'mod'};inf;101.2350181;1.333333;2;1;147.9215;0.025;0;9;12;2;2;0;2;23;3;3;5;0.3333333333333333;7;7;4;{'tanh'};0;3;0;0;4;2;2;0;0;0;0;0;0;1;0;0;12;25;indefinite;min;signomial;;;;;;;;;;;;;;;;;;;;True;;-99.93663292;NLP;['SchweidtmannMitsos2019'];;['other']
ann_peaks_exp;2021-11-29;Neural Networks;indefinite;False;0.029292929292929294;-6.56311025;{'gms', 'osil', 'nl', 'py', 'mod'};1.0818006305425268e-05;9.714333257;1.0;1;1;9.492776;0.00226438;0;98;100;47;47;0;47;289;47;47;47;0.02127659574468085;51;52;47;{'div', 'exp'};0;47;0;0;47;0;1;0;0;0;0;0;0;0;0;0;100;290;linear;min;linear;;;;;True;;True;;;;;;;;;;;;;;;-6.563039251;NLP;['SchweidtmannMitsos2019'];;['other']
ann_peaks_tanh;2021-11-29;Neural Networks;indefinite;False;0.029292929292929294;;{'gms', 'osil', 'nl', 'py', 'mod'};inf;9.714333257;1.0;1;1;9.492776;0.00226438;0;98;100;47;47;0;47;289;47;47;47;0.02127659574468085;51;52;47;{'tanh'};0;47;0;0;47;0;1;0;0;0;0;0;0;0;0;0;100;290;linear;min;linear;;;;;;;;;;;;;;;;;;;;True;;-6.563039251;NLP;['SchweidtmannMitsos2019'];;['other']
arki0002;2001-07-31;;indefinite;False;0.001189575888186457;-1.000001859e-09;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};inf;1.0;1.0;1;1;2.0;0.17;0;1976;2456;912;912;0;912;5624;1064;1064;1064;0.001095290251916758;1064;1064;1064;{'div', 'exp'};0;913;0;0;1064;152;152;0;0;0;1;0;0;0;0;0;2456;5776;convex;min;quadratic;;;;;True;;True;;;;;;;;;;;;;;;0.9768443817;NLP;;ARKI Consulting Client Models;['other']
arki0003;2001-07-31;;indefinite;False;0.002141789698796733;3795.206063;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};1.3174514876636292e-09;116004857.1;14.666667;40;2;1189.237;6.066919e-08;0;2583;2283;0;0;0;4080;12634;90;360;4920;0.0016890213611525087;753;754;4080;set();0;1830;0;0;1320;0;1;1080;1080;750;750;0;0;0;0;0;2283;12635;linear;min;linear;;;;;;;;;;;;;;;;;;;;;;3795.206068;NLP;;ARKI Consulting Client Models;['other']
arki0004;2001-07-31;;indefinite;False;0.0033469841751352443;-3058.468712;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};inf;4.46501014;1044.0;2086;2;1.0;1.0;0;2081;2090;0;1;0;8320;12484;2;2082;12482;0.004784671385088756;1041;1041;10400;{'div', 'log', 'sqr'};0;1041;0;0;2088;2080;2080;1040;1040;0;0;0;0;0;0;0;2090;14564;indefinite;min;nonlinear;;;;;True;;;;True;;;;;;;;;True;;;;323.4670388;NLP;;ARKI Consulting Client Models;['other']
arki0005;2001-07-31;;indefinite;False;0.010514541936572117;372.6047236;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};1.073523632196727e-09;19.425;1.009881;5;1;366.1667;0.007601711;0;5152;2370;0;0;0;11760;127402;1012;1018;1054;0.0053094563046882735;2800;2800;12768;set();0;2353;0;0;1022;1008;1008;1680;1680;672;673;0;0;0;0;0;2370;128410;convex;min;quadratic;;;;;;;;;;;;;;;;;;;;;;372.604724;NLP;;ARKI Consulting Client Models;['other']
arki0006;2001-07-31;;indefinite;False;0.010514541936572117;0.0;{'pip', 'gms', 'ams', 'osil', 'nl', 'py', 'mod'};inf;1.571571772;5.94186;6;2;366.1667;0.005952381;0;5152;2370;0;0;0;11760;127402;172;1018;6094;0.0053094563046882735;2800;2800;12768;set();0;2353;0;0;1022;1008;1008;1680;1680;672;673;0;0;0;0;0;2370;128410;convex;min;quadratic;;;;;;;;;;;;;;;;;;;;;;4.549983474;NLP;;ARKI Consulting Client Models;['other']
arki0009;2001-07-31;;indefinite;False;0.0005693054114528812;-6907755.279;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};32.35523148217444;89130.0;1.524781;3;1;100000.0;2e-06;0;6707;7714;101;102;0;433;29369;343;523;1063;0.005208333333333333;6516;6516;523;{'log', 'mul', 'vcpower'};0;192;0;0;523;90;90;0;0;90;90;0;0;0;0;0;7714;29459;convex;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;True;-207096.6074;NLP;;ARKI Consulting Client Models;['other']
arki0010;2001-07-31;;indefinite;False;0.0010491613467109382;-6907755.279;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};35.76123366417691;89130.0;1.520231;3;1;100000.0;2e-06;0;3427;4144;51;52;0;218;14859;173;263;533;0.010309278350515464;3331;3331;263;{'log', 'mul', 'vcpower'};0;97;0;0;263;45;45;0;0;45;45;0;0;0;0;0;4144;14904;convex;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;True;-187908.6905;NLP;;ARKI Consulting Client Models;['other']
arki0011;2001-07-31;;indefinite;False;0.00022381450816799046;;{'gms', 'ams', 'osil', 'nl', 'mod'};inf;3.961490536e-07;1.498155;3;1;100000.0;7.27676e-05;0;17737;19314;151;152;0;948;76407;813;1218;2298;0.003484320557491289;17451;17451;1218;{'log', 'mul', 'vcpower'};0;287;0;0;1218;270;270;0;0;135;135;0;0;0;0;0;19314;76677;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;True;-224086.46;NLP;;ARKI Consulting Client Models;['other']
arki0012;2001-07-31;;indefinite;False;0.00022381450816799046;;{'gms', 'ams', 'osil', 'nl', 'mod'};inf;80377.40991;1.498155;3;1;100000.0;7.27676e-05;0;17737;19314;151;152;0;948;76407;813;1218;2298;0.003484320557491289;17451;17451;1218;{'log', 'mul', 'vcpower'};0;287;0;0;1218;270;270;0;0;135;135;0;0;0;0;0;19314;76677;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;True;-224252.4457;NLP;;ARKI Consulting Client Models;['other']
arki0013;2001-07-31;;indefinite;False;0.00022420856321191078;;{'gms', 'ams', 'osil', 'nl', 'mod'};inf;79515.96703;1.498155;3;1;100000.0;7.27676e-05;0;17737;19314;151;152;0;948;76542;813;1218;2298;0.003484320557491289;17451;17451;1218;{'log', 'mul', 'vcpower'};0;287;0;0;1218;270;270;0;0;135;135;0;0;0;0;0;19314;76812;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;True;-224253.0892;NLP;;ARKI Consulting Client Models;['other']
arki0014;2001-07-31;;indefinite;False;0.00022409311958851324;;{'gms', 'ams', 'osil', 'nl', 'mod'};inf;76230.57402;1.498155;3;1;100000.0;7.27676e-05;0;17692;19305;151;152;0;948;76272;813;1218;2298;0.003484320557491289;17406;17406;1218;{'log', 'mul', 'vcpower'};0;287;0;0;1218;270;270;0;0;135;135;0;0;0;0;0;19305;76542;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;True;-223977.0938;NLP;;ARKI Consulting Client Models;['other']
arki0015;2001-07-31;;indefinite;False;0.002012306185870706;-279.5334172;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};0.02656498307790389;26.8357;22.666667;58;5;30.0;0.01234103;0;1496;2093;759;759;0;3841;6052;69;1495;8809;0.0024267612183213206;484;485;3841;{'div', 'exp', 'mul', 'vcpower'};0;1012;0;0;1564;0;253;0;0;253;253;0;0;0;0;0;2093;6305;linear;min;linear;;;;;True;;True;;;;;;True;;;;;;;;True;-272.2997782;NLP;;ARKI Consulting Client Models;['other']
arki0016;2001-07-31;;indefinite;False;0.0012958609834437858;-1409.648298;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};inf;104.5882048;3.474471;40;1;952.5546;1.561138e-06;0;2946;5047;0;1;0;3974;16617;803;2657;6631;0.0011955244008856004;959;959;6631;{'log', 'mul'};0;1988;0;0;2790;2657;2657;0;0;1987;1987;0;0;0;0;0;5047;19274;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;;867.973166;NLP;;ARKI Consulting Client Models;['other']
arki0017;2001-07-31;;indefinite;False;0.0014937778098364327;-1617.478609;{'gms', 'ams', 'osil', 'nl', 'py', 'mod'};12.276185808258163;61.04596226;5.262443;49;1;704.1956;4.176024e-05;0;2572;4332;0;1;0;3768;14436;442;2214;5982;0.0013643485817115253;688;688;5982;{'log', 'mul'};0;1885;0;0;2326;2214;2214;0;0;1884;1884;0;0;0;0;0;4332;16650;nonconcave;min;nonlinear;;;;;;;;;True;;;;True;;;;;;;;;-121.8330801;NLP;;ARKI Consulting Client Models;['other']
